ID,DAPC,SNPs,INDELs,msh6.SNPs
C40,Cluster3,71506,7627,62
C387,Cluster3,67304,7637,62
E174,Cluster3,62888,7641,63
E71,Cluster3,72486,7650,68
C540,Cluster1,64925,7656,0
C443,Cluster3,66444,7664,65
E98,Cluster3,71882,7664,67
C4,Cluster3,73452,7666,62
E58,Cluster3,69870,7693,63
E567,Cluster1,21848,7694,0
C181,Cluster3,75268,7695,68
E66,Cluster3,76309,7708,62
E163,Cluster3,64060,7724,69
E295,Cluster3,61928,7725,62
E491,Cluster3,66064,7738,63
E59,Cluster3,72380,7747,62
E72,Cluster3,75688,7788,64
E75,Cluster3,78049,7790,64
C427,Cluster3,33790,7808,62
C168,Cluster3,72687,7810,62
E77,Cluster3,77411,7811,62
E299,Cluster3,52739,7814,63
E78,Cluster3,77331,7822,62
E85,Cluster3,72536,7852,64
E62,Cluster3,74413,7860,63
E354,Cluster3,63906,7893,62
E520,Cluster3,66512,7921,62
E378,Cluster3,51346,7924,62
E518,Cluster3,63731,7950,63
E276,Cluster3,64983,7961,63
C209,Cluster3,68152,7962,68
C66,Cluster3,73756,7972,68
E112,Cluster3,77619,7984,62
E151,Cluster3,81313,7990,63
C68,Cluster3,73352,8005,68
C67,Cluster3,73959,8019,68
E67,Cluster1,5374,8034,0
C262,Cluster3,69527,8036,68
E269,Cluster3,62367,8061,66
E264,Cluster3,64534,8068,62
E503,Cluster3,69701,8075,64
C76,Cluster3,74180,8077,68
E184,Cluster1,36745,8090,0
E271,Cluster3,63837,8104,68
E162,Cluster3,19762,8106,65
E498,Cluster3,55762,8110,62
E409,Cluster3,76661,8112,62
E428,Cluster3,71035,8124,62
E412,Cluster1,15214,8150,0
E131,Cluster3,74334,8161,67
E127,Cluster3,75675,8171,63
C392,Cluster3,70550,8173,63
C374,Cluster3,67040,8177,63
E404,Cluster3,82061,8189,68
E411,Cluster3,81667,8189,68
E69,Cluster3,75325,8193,68
E440,Cluster3,68834,8195,62
E402,Cluster1,21019,8197,0
E415,Cluster3,81980,8201,68
E436,Cluster3,70764,8203,67
E414,Cluster3,81746,8231,68
E515,Cluster3,64908,8236,68
E418,Cluster3,81898,8238,68
E413,Cluster3,81772,8242,68
E406,Cluster3,82411,8248,68
E160,Cluster3,70198,8251,62
E407,Cluster3,82314,8256,68
E512,Cluster3,64930,8257,68
E128,Cluster3,75750,8259,64
E417,Cluster3,81994,8262,68
E419,Cluster3,82385,8268,68
E433,Cluster3,71226,8270,67
E405,Cluster3,81955,8271,68
E416,Cluster3,82065,8327,68
E214,Cluster3,71352,8351,62
C33,Cluster3,82739,8376,63
C429,Cluster3,55667,8408,61
E96,Cluster3,80102,8423,68
E313,Cluster3,70971,8431,63
E114,Cluster3,76397,8455,64
E614,Cluster3,79757,8468,68
C199,Cluster3,72731,8470,68
E110,Cluster3,88988,8490,62
C175,Cluster1,5701,8491,0
E108,Cluster3,90382,8494,63
E91,Cluster3,76784,8500,64
C434,Cluster3,72485,8521,68
C174,Cluster3,78007,8525,64
C430,Cluster3,50648,8527,62
E102,Cluster3,77895,8570,66
C6,Cluster3,80013,8601,62
E103,Cluster3,78341,8606,65
E158,Cluster1,10086,8623,0
E213,Cluster3,69084,8667,68
E263,Cluster3,67071,8678,63
E424,Cluster3,79216,8684,63
E423,Cluster3,79235,8716,63
E272,Cluster3,68270,8813,63
C576,Cluster3,70960,8855,63
E68,Cluster3,78760,8893,68
E117,Cluster3,78469,8912,63
E294,Cluster1,75306,9032,63
C557,Cluster3,71949,9082,70
E216,Cluster3,70633,9133,69
E63,Cluster3,87079,9201,65
E64,Cluster3,91731,10207,64
E230,Cluster1,133057,14578,0
E234,Cluster1,132795,14643,0
E229,Cluster1,135778,15207,49
E422,Cluster1,57371,72920,0
E189,Cluster1,130590,14356,53
E375,Cluster4,23109,4635,54
E345,Cluster5,55608,6734,62
C420,Cluster4,39934,5511,44
E330,Cluster1,157,482,5
C529,Cluster5,54175,6110,67
E373,Cluster2,36019,7677,62
E202,Cluster3,12834,7941,62
E322,Cluster3,32310,4647,57
E316,Cluster3,32343,5056,56
E327,Cluster3,16905,5185,60
E525,Cluster4,50732,6080,64
E145,Cluster4,63875,6156,65
E435,Cluster4,56374,6325,65
C321,Cluster2,39104,6349,60
E149,Cluster4,64812,6377,65
E437,Cluster1,56747,6403,0
E432,Cluster4,56443,6410,65
E325,Cluster2,50075,6418,62
E185,Cluster1,30144,6424,64
E426,Cluster4,56761,6426,65
E434,Cluster4,56586,6426,65
E425,Cluster4,56787,6428,65
E324,Cluster2,24000,6437,62
C310,Cluster2,52662,6470,60
E148,Cluster4,63664,6490,65
E370,Cluster2,32324,6533,61
C188,Cluster4,50768,6566,66
E188,Cluster4,51280,6572,67
E180,Cluster4,54539,6576,62
C358,Cluster4,53663,6591,62
E31,Cluster2,60954,6613,62
C445,Cluster4,58874,6667,65
C319,Cluster3,60145,6713,62
E487,Cluster3,48740,6725,64
C330,Cluster3,59410,6749,62
E306,Cluster3,41899,6792,65
E488,Cluster3,44050,6792,62
C377,Cluster2,57265,6800,62
E307,Cluster3,50487,6818,64
E38,Cluster2,62933,6821,62
E25,Cluster2,61917,6831,62
E315,Cluster3,50999,6848,62
E23,Cluster2,62516,6862,62
C186,Cluster3,67873,6866,62
E36,Cluster3,69744,6875,62
C123,Cluster2,64035,6884,62
E342,Cluster2,43541,6911,62
C91,Cluster2,63832,6925,62
C116,Cluster2,63826,6928,62
C306,Cluster3,59408,6929,62
C349,Cluster3,14302,6939,62
C320,Cluster2,13084,6972,61
C318,Cluster4,55674,7005,62
E21,Cluster3,67529,7013,62
E382,Cluster2,51626,7014,62
C93,Cluster3,68298,7015,62
C322,Cluster2,57643,7015,62
E22,Cluster3,67072,7026,62
E357,Cluster2,55907,7088,62
E376,Cluster2,49352,7091,62
C346,Cluster3,15254,7119,62
E385,Cluster2,31857,7120,62
E347,Cluster2,43816,7125,62
E364,Cluster2,55893,7125,62
C35,Cluster2,67548,7127,62
E32,Cluster3,65939,7151,62
C308,Cluster3,61562,7152,62
E359,Cluster2,56064,7161,62
C309,Cluster2,58356,7166,62
C438,Cluster2,55956,7174,62
E395,Cluster3,45743,7176,62
E10,Cluster3,70417,7182,62
C10,Cluster3,74215,7190,62
C34,Cluster2,67806,7191,62
E17,Cluster3,64745,7202,62
C107,Cluster2,67603,7202,62
E9,Cluster2,67646,7209,62
C105,Cluster2,67366,7210,62
E13,Cluster2,68116,7215,62
C88,Cluster3,71465,7226,62
C115,Cluster2,67911,7256,62
E11,Cluster2,67732,7261,62
E27,Cluster2,68187,7262,62
E302,Cluster3,48307,7265,64
E16,Cluster2,68100,7270,62
C71,Cluster2,67864,7271,62
E333,Cluster3,56953,7274,62
C240,Cluster3,60146,7279,65
E381,Cluster2,58101,7296,63
C82,Cluster2,68130,7311,62
E24,Cluster2,67753,7315,62
C69,Cluster2,67903,7319,62
C234,Cluster3,59288,7320,62
C307,Cluster3,61000,7322,62
E349,Cluster3,51547,7324,62
E30,Cluster2,68326,7324,62
E510,Cluster3,60377,7325,65
C125,Cluster2,67881,7328,62
